,id,title,description,price,link,image_link,brand,color,shipping,size,custom_label_0,custom_label_1,custom_label_2,category
34,179,Pick Any 1 - Banarasi Art Silk Sarees by Fashions World NOT USE,Pick Any 1 - Banarasi Art Silk Sarees by Fashions World,1999.00 ,https://www.ezmall.com/women/ethnic-wear/sarees-blouses/sarees/pick-any-1-banarasi-art-silk-sarees-by-fashions-world-not-use/319,https://cdn.ezmall.com/0/images/product/179/Pick_Any1-Banarasi_Art_Silk_Sarees_by_Fashions_World_001.jpg,Fashions World,"RED,PURPLE",101.00 INR,no size,Women,Ethnic Wear,Sarees & Blouses,Apparel & Accessories
35,183,Clearline Instant Multicook Kettle with 4 Attachments,Clearline Instant Multicook Kettle with 4 Attachments,2970.00 ,https://www.ezmall.com/electronics-appliances/kitchen-appliances/electric-kettle/clearline-instant-multicook-kettle-with-4-attachments/391,https://cdn.ezmall.com/0/images/product/183/Clearline-Instant-Multicook-Kettle-with-4-Attachments-001.jpg,Clearline,no color,151.00 INR,no size,Electronics & Appliances,Kitchen Appliances,Electric Kettle,Home & Garden
36,185,Lifelong Body Massager with 3 Attachments,"Online Shopping for Lifelong Body Massager with 3 in India attachments in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",5500.00 ,https://www.ezmall.com/electronics-appliances/health-appliances/body-massager/lifelong-body-massager-with-3-attachments/393,https://cdn.ezmall.com/0/images/product/185/Lifelong-Body-Massager-with-3-Attachments-001-A.jpg,Lifelong,BROWN,151.00 INR,no size,Electronics & Appliances,Health Appliances,Body Massager,Health & Beauty
37,187,Pick Any 1 - 13 Pc. Dining Table Cover Set by Heritage Fabs,Pick Any 1 - 13 Pc. Dining Table Cover Set by Heritage FabsPick Any 1 - 13 Pc. Dining Table Cover Set by Heritage Fabs,2500.00 ,https://www.ezmall.com/home-kitchen/furnishings-furniture/kitchen-dining-linen/table-linen-/pick-any-1-13-pc.-dining-table-cover-set-by-heritage-fabs/333,https://cdn.ezmall.com/0/images/product/187/Pick_Any1-13_Pc._Dining_Table_Cover_Set_by_Heritage_Fabs_001.jpg,Heritage Fabs,"MAROON,GREEN",151.00 INR,no size,Home & Kitchen,Furnishings & Furniture,Kitchen & Dining Linen,Home & Garden
38,189,Pick Any 1 - 11 Pc. Living Room Set by Heritage Fabs,Pick Any 1 - 11 Pc. Living Room Set by Heritage Fabs,3000.00 ,https://www.ezmall.com/home-kitchen/furnishings-furniture/cushion-pillows-covers/cushion-covers/pick-any-1-11-pc.-living-room-set-by-heritage-fabs/335,https://cdn.ezmall.com/0/images/product/189/Pick_Any1-11_Pc._Living_Room_Set_by_Heritage_Fabs_001.jpg,Heritage Fabs,"GREEN,PINK",151.00 INR,no size,Home & Kitchen,Furnishings & Furniture,"Cushion, Pillows & Covers",Home & Garden
39,191,Pack of 2 Denims,"Online Shopping for Pack of 2 Denims in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",2198.00 ,https://www.ezmall.com/men/bottom-wear/jeans/pack-of-2-denims/409,https://cdn.ezmall.com/0/images/product/191/Pack_of_2_Denims_001.jpg,STYLOX,no color,51.00 INR,"28,30,32,34,36,38",Men,Bottom Wear,Jeans,Apparel & Accessories
40,193,Pack of 2 Denims Pick Any 1 Combo,Pack of 2 Denims Pick Any 1 Combo,2198.00 ,https://www.ezmall.com/men/bottom-wear/jeans/pack-of-2-denims-pick-any-1-combo/403,https://cdn.ezmall.com/0/images/product/193/Pack_of_2_Denims_Pick_Any_1Combo_001.jpg,STYLOX,"LIGHT BLUE/BLACK,DARK BLUE/BLACK",101.00 INR,"28,30,32,34,36",Men,Bottom Wear,Jeans,Apparel & Accessories
41,195,Pick Any 1 Kurta with Attached Skirt by Rhythm Rajasthan,Kurta with Attached Skirt by Rhythm Rajasthan,1699.00 ,https://www.ezmall.com/women/ethnic-wear/kurtas-suits/kurtas/pick-any-1-kurta-with-attached-skirt-by-rhythm-rajasthan/347,https://cdn.ezmall.com/0/images/product/195/Kurta_With_Attached_Skirt_By_Rhythm_Rajasthan_Color_Blue-Set-001.jpg,Rhythm Rajasthan,"BEIGE,BLUE",51.00 INR,"S,M,L,XL,XXL",Women,Ethnic Wear,Kurtas & Suits,Apparel & Accessories
42,199,Pick Any 1 Party Wear Sarees by SSM,"Online Shopping for Pick Any 1 Party Wear Sarees by SSM in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",2999.00 ,https://www.ezmall.com/women/ethnic-wear/sarees-blouses/sarees/pick-any-1-party-wear-sarees-by-ssm/361,https://cdn.ezmall.com/0/images/product/199/Party_Wear_Sarees_By_SSM_Color_Black-Set-001.jpg,SSM,"BLACK,PINK,ORANGE",101.00 INR,no size,Women,Ethnic Wear,Sarees & Blouses,Apparel & Accessories
43,201,Pack of 3 Cotton Polo T-shirts,Pack of 3 Cotton Polo T-shirts,1999.00 ,https://www.ezmall.com/men/top-wear/t-shirts/pack-of-3-cotton-polo-t-shirts/365,https://cdn.ezmall.com/0/images/product/201/Pack_of_3Cotton_Polo_T-shirts_001.jpg,Grand Bear,MULTI,101.00 INR,"M,L,XL",Men,Top Wear,T Shirts,Apparel & Accessories
